binominal,F01286,F01287,F01289,F01290,F00056,F00004,F00679,F00727
Abelia biflora,Abelia,biflora,Caprifoliaceae,Dipsacales,1.0,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.",-0.6363888467413364,3.43227790769518
Abies alba,Abies,alba,Pinaceae,Pinales,,"<StringArray>
['Withington JM, Reich PB, Oleksyn J, Eissenstat DM. 2006. Comparisons of structure and life span in roots and leaves among temperate trees. Ecological Monographs 76: 381-397.', 'Liese R, Alings K, Meier IC. 2017. Root branching is a leading root trait of the plant economics spectrum in temperate trees. Frontiers in Plant Science 8:315.']
Length: 2, dtype: str",-0.5923972774598022,3.4665688891036184
Abies fargesii,Abies,fargesii,Pinaceae,Pinales,1.0,"Pu X, Yin C, Xioa Q, Qiao M, Liu Q. 2016. Fine roots branch orders of Abies faxoniana respond differentially to warming in a subalpine coniferous forest ecosystem. Agroforestry Systems online article. doi:10.1007/s10457-016-9970-7",-1.2913342598586361,3.422801478311455
Abies nephrolepis,Abies,nephrolepis,Pinaceae,Pinales,1.0,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.",-0.8789147480343529,3.2975338379252603
Acacia auriculiformis,Acacia,auriculiformis,Fabaceae,Fabales,1.0,"<StringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'Kong DL, Wang JJ, Kardol P, Wu HF, Zeng H, Deng XB, Deng Y. 2016. Economic strategies of plant absorptive roots vary with root diameter. Biogeosciences 13: 415-424.']
Length: 2, dtype: str",-1.0942219403668167,4.34756458111878
Acacia crassicarpa,Acacia,crassicarpa,Fabaceae,Fabales,1.0,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",-1.487530062200767,4.684720464746101
Acacia mangium,Acacia,mangium,Fabaceae,Fabales,1.0,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",-1.3761460300680755,4.597037202757902
Acer barbinerve,Acer,barbinerve,Sapindaceae,Sapindales,1.0,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.",-1.3771364233351249,4.96758145600384
Acer campbellii,Acer,campbellii,Sapindaceae,Sapindales,1.0,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.",-1.6620478627063977,4.370364110801968
Acer campestre,Acer,campestre,Sapindaceae,Sapindales,,"Liese R, Alings K, Meier IC. 2017. Root branching is a leading root trait of the plant economics spectrum in temperate trees. Frontiers in Plant Science 8:315.",-0.8651224452997557,3.4330189939851112
